,Name,Address,입점수,광역시도,시도
453,빽다방,서울특별시 종로구,7,서울특별시,종로구
454,빽다방,서울특별시 강남구,16,서울특별시,강남구
455,빽다방,부산광역시 해운대구,4,부산광역시,해운대구
456,빽다방,서울특별시 노원구,5,서울특별시,노원구
457,빽다방,서울특별시 송파구,11,서울특별시,송파구
458,빽다방,서울특별시 성동구,4,서울특별시,성동구
459,빽다방,부산광역시 부산진구,3,부산광역시,부산진구
460,빽다방,서울특별시 강남구,16,서울특별시,강남구
461,빽다방,서울특별시 마포구,6,서울특별시,마포구
462,빽다방,부산광역시 부산진구,3,부산광역시,부산진구
463,빽다방,서울특별시 영등포구,6,서울특별시,영등포구
464,빽다방,서울특별시 강남구,16,서울특별시,강남구
465,빽다방,서울특별시 광진구,5,서울특별시,광진구
466,빽다방,서울특별시 구로구,5,서울특별시,구로구
467,빽다방,서울특별시 종로구,7,서울특별시,종로구
468,빽다방,서울특별시 마포구,6,서울특별시,마포구
469,빽다방,서울특별시 구로구,5,서울특별시,구로구
470,빽다방,서울특별시 성북구,6,서울특별시,성북구
471,빽다방,서울특별시 송파구,11,서울특별시,송파구
472,빽다방,서울특별시 서초구,9,서울특별시,서초구
473,빽다방,서울특별시 금천구,1,서울특별시,금천구
474,빽다방,서울특별시 송파구,11,서울특별시,송파구
475,빽다방,서울특별시 서대문구,4,서울특별시,서대문구
476,빽다방,부산광역시 수영구,1,부산광역시,수영구
477,빽다방,서울특별시 강남구,16,서울특별시,강남구
478,빽다방,서울특별시 강남구,16,서울특별시,강남구
479,빽다방,서울특별시 종로구,7,서울특별시,종로구
480,빽다방,서울특별시 성북구,6,서울특별시,성북구
481,빽다방,서울특별시 동작구,4,서울특별시,동작구
482,빽다방,부산광역시 동래구,2,부산광역시,동래구
483,빽다방,부산광역시 금정구,3,부산광역시,금정구
484,빽다방,서울특별시 성북구,6,서울특별시,성북구
485,빽다방,서울특별시 서대문구,4,서울특별시,서대문구
486,빽다방,서울특별시 서초구,9,서울특별시,서초구
487,빽다방,서울특별시 동대문구,5,서울특별시,동대문구
488,빽다방,서울특별시 성북구,6,서울특별시,성북구
489,빽다방,서울특별시 강동구,5,서울특별시,강동구
490,빽다방,서울특별시 중구,7,서울특별시,중구
491,빽다방,서울특별시 종로구,7,서울특별시,종로구
492,빽다방,서울특별시 노원구,5,서울특별시,노원구
493,빽다방,서울특별시 노원구,5,서울특별시,노원구
494,빽다방,서울특별시 서초구,9,서울특별시,서초구
495,빽다방,부산광역시 기장군,1,부산광역시,기장군
496,빽다방,서울특별시 성동구,4,서울특별시,성동구
497,빽다방,서울특별시 종로구,7,서울특별시,종로구
498,빽다방,서울특별시 관악구,5,서울특별시,관악구
499,빽다방,서울특별시 중랑구,2,서울특별시,중랑구
500,빽다방,부산광역시 북구,3,부산광역시,북구
501,빽다방,부산광역시 부산진구,3,부산광역시,부산진구
502,빽다방,서울특별시 강남구,16,서울특별시,강남구
503,빽다방,서울특별시 중구,7,서울특별시,중구
504,빽다방,서울특별시 서초구,9,서울특별시,서초구
505,빽다방,서울특별시 성북구,6,서울특별시,성북구
506,빽다방,서울특별시 강서구,8,서울특별시,강서구
507,빽다방,서울특별시 강남구,16,서울특별시,강남구
508,빽다방,서울특별시 강서구,8,서울특별시,강서구
509,빽다방,서울특별시 성동구,4,서울특별시,성동구
510,빽다방,서울특별시 관악구,5,서울특별시,관악구
511,빽다방,서울특별시 영등포구,6,서울특별시,영등포구
512,빽다방,서울특별시 영등포구,6,서울특별시,영등포구
513,빽다방,서울특별시 구로구,5,서울특별시,구로구
514,빽다방,서울특별시 동작구,4,서울특별시,동작구
515,빽다방,서울특별시 동대문구,5,서울특별시,동대문구
516,빽다방,서울특별시 강서구,8,서울특별시,강서구
517,빽다방,서울특별시 마포구,6,서울특별시,마포구
518,빽다방,서울특별시 구로구,5,서울특별시,구로구
519,빽다방,서울특별시 양천구,4,서울특별시,양천구
520,빽다방,서울특별시 중구,7,서울특별시,중구
521,빽다방,서울특별시 양천구,4,서울특별시,양천구
522,빽다방,부산광역시 중구,3,부산광역시,중구
523,빽다방,서울특별시 송파구,11,서울특별시,송파구
524,빽다방,서울특별시 서초구,9,서울특별시,서초구
525,빽다방,서울특별시 동대문구,5,서울특별시,동대문구
526,빽다방,서울특별시 강남구,16,서울특별시,강남구
527,빽다방,서울특별시 송파구,11,서울특별시,송파구
528,빽다방,서울특별시 용산구,4,서울특별시,용산구
529,빽다방,서울특별시 강남구,16,서울특별시,강남구
530,빽다방,서울특별시 노원구,5,서울특별시,노원구
531,빽다방,서울특별시 은평구,6,서울특별시,은평구
